element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Al,13,"=""5.43518962""","=""1.2019e+11""","=""1.0646e-03""",AA,"=""0.000000""","=""(2281.1384177)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",,
Al,13,"=""5.43521444""","=""1.1976e+11""","=""5.3040e-04""",AA,"=""0.000000""","=""(2281.1279987)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",,
Al,13,"=""5.44807813""","=""1.6513e+11""","=""1.4696e-03""",AA,"=""0.000000""","=""(2275.7419317)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",,
Al,13,"=""5.44811235""","=""1.6457e+11""","=""7.3232e-04""",AA,"=""0.000000""","=""(2275.7276383)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",,
Al,13,"=""5.46620026""","=""2.3565e+11""","=""2.1112e-03""",AA,"=""0.000000""","=""(2268.1971506)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",,
Al,13,"=""5.46624931""","=""2.3487e+11""","=""1.0521e-03""",AA,"=""0.000000""","=""(2268.1767974)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,
Al,13,"=""5.49285153""","=""3.5291e+11""","=""3.1926e-03""",AA,"=""0.000000""","=""(2257.1918743)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,
Al,13,"=""5.49292547""","=""3.5182e+11""","=""1.5914e-03""",AA,"=""0.000000""","=""(2257.1614895)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,
Al,13,"=""5.53442924""","=""5.6324e+11""","=""5.1729e-03""",AA,"=""0.000000""","=""(2240.2345929)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
Al,13,"=""5.53454846""","=""5.6164e+11""","=""2.5792e-03""",AA,"=""0.000000""","=""(2240.1863358)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
Al,13,"=""5.60479391""","=""9.8145e+11""","=""9.2444e-03""",AA,"=""0.000000""","=""(2212.1098555)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
Al,13,"=""5.60500523""","=""9.7906e+11""","=""4.6113e-03""",AA,"=""0.000000""","=""(2212.026452)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
Al,13,"=""5.73912650""","=""1.9468e+12""","=""1.9227e-02""",AA,"=""0.000000""","=""(2160.332213)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
Al,13,"=""5.73955937""","=""1.9433e+12""","=""9.5976e-03""",AA,"=""0.000000""","=""(2160.169282)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
Al,12,"=""6.000035""","=""1.96e+11""","=""3.18e-03""",A+,"=""0.00000""","=""(2066.3913)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
Al,12,"=""6.013401""","=""2.70e+11""","=""4.39e-03""",A+,"=""0.00000""","=""(2061.7982)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
Al,12,"=""6.032186""","=""3.84e+11""","=""6.29e-03""",A+,"=""0.00000""","=""(2055.3776)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
Al,13,"=""6.05252825""","=""4.7745e+12""","=""5.2444e-02""",AA,"=""0.000000""","=""(2048.469552)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
Al,13,"=""6.05366979""","=""4.7723e+12""","=""2.6220e-02""",AA,"=""0.000000""","=""(2048.083275)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
Al,12,"=""6.059794""","=""5.75e+11""","=""9.50e-03""",A+,"=""0.00000""","=""(2046.0135)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
Al,12,"=""6.102819""","=""9.16e+11""","=""1.53e-02""",AA,"=""0.00000""","=""(2031.5890)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
Al,12,"=""6.175515""","=""1.59e+12""","=""2.73e-02""",AA,"=""0.00000""","=""(2007.6738)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
Al,12,"=""6.313899""","=""3.13e+12""","=""5.62e-02""",AA,"=""0.00000""","=""(1963.6709)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
Al,12,"=""6.634750""","=""7.61e+12""","=""1.51e-01""",AA,"=""0.00000""","=""(1868.7093)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
Al,13,"=""7.17090553""","=""1.7862e+13""","=""2.7541e-01""",AA,"=""0.000000""","=""(1728.989427)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
