element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,6,"=""26.025967573""","=""2.5584e+10""","=""5.1960e-03""",AA,"=""0.00000000""","=""(476.386509299)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
C,6,"=""26.026086718""","=""2.5568e+10""","=""2.5964e-03""",AA,"=""0.00000000""","=""(476.384328443)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
C,6,"=""26.357225331""","=""4.4578e+10""","=""9.2857e-03""",AA,"=""0.00000000""","=""(470.399280950)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
C,6,"=""26.357436496""","=""4.4555e+10""","=""4.6405e-03""",AA,"=""0.00000000""","=""(470.39551229)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
C,6,"=""26.989626939""","=""8.8424e+10""","=""1.9313e-02""",AA,"=""0.00000000""","=""(459.37722189)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
C,6,"=""26.990059424""","=""8.8391e+10""","=""9.6533e-03""",AA,"=""0.00000000""","=""(459.36986090)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
C,6,"=""28.465191647""","=""2.1688e+11""","=""5.2692e-02""",AA,"=""0.00000000""","=""(435.56424974)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
C,6,"=""28.466332024""","=""2.1686e+11""","=""2.6345e-02""",AA,"=""0.00000000""","=""(435.54680078)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
C,5,"=""33.4261""","=""1.065e+11""","=""5.352e-02""",AA,"=""0.00000""","=""(370.92071)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
C,6,"=""33.73417110""","=""8.1219e+11""","=""2.7713e-01""",AA,"=""0.00000000""","=""(367.53296255)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
C,6,"=""33.73957711""","=""8.1273e+11""","=""1.3870e-01""",AA,"=""0.00000000""","=""(367.47407361)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
C,5,"=""34.9725""","=""2.554e+11""","=""1.405e-01""",AA,"=""0.00000""","=""(354.51908)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
C,5,"=""40.2674""","=""8.873e+11""","=""6.471e-01""",AA,"=""0.00000""","=""(307.9024628)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,
C,2,"=""42.766""","=""9.e+10""","=""2.3e-02""",D+,"=""0.0000000000""","=""289.91""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2S""","=""1/2""",,
C,2,"=""42.767""","=""1.7e+11""","=""2.3e-02""",D+,"=""0.007859989""","=""289.91""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2S""","=""1/2""",,
C,2,"=""42.836""","=""6.e+10""","=""2.3e-02""",E,"=""5.33441""","=""294.77""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",,
C,2,"=""42.836""","=""2.5e+10""","=""7.e-03""",E,"=""5.33441""","=""294.77""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",,
C,2,"=""42.836""","=""1.5e+11""","=""2.1e-02""",E,"=""5.33441""","=""294.77""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",,
C,2,"=""42.836""","=""8.e+10""","=""4.e-02""",E,"=""5.33167""","=""294.77""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",,
C,2,"=""42.836""","=""3.1e+10""","=""9.e-03""",E,"=""5.33167""","=""294.77""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""1/2""",,
C,2,"=""42.837""","=""1.3e+11""","=""3.6e-02""",E,"=""5.33792""","=""294.77""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""5/2""",,
C,2,"=""42.837""","=""8.e+10""","=""1.5e-02""",E,"=""5.33792""","=""294.77""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2P*)""","=""4P*""","=""3/2""",,
C,2,"=""42.987""","=""1.4e+11""","=""7.6e-02""",D+,"=""0.0000000000""","=""288.42""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",,
C,2,"=""42.988""","=""6.8e+11""","=""1.9e-01""",D+,"=""0.007859989""","=""288.42""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",,
C,2,"=""42.989""","=""5.5e+11""","=""1.5e-01""",D+,"=""0.0000000000""","=""288.41""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2P""","=""1/2""",,
C,2,"=""42.990""","=""2.7e+11""","=""3.8e-02""",D+,"=""0.007859989""","=""288.41""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""1/2""",,
C,2,"=""43.060""","=""2.5e+11""","=""1.4e-01""",D+,"=""0.0000000000""","=""287.94""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",,
C,2,"=""43.061""","=""3.0e+11""","=""1.2e-01""",D+,"=""0.007859989""","=""287.94""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""5/2""",,
C,2,"=""43.061""","=""4.9e+10""","=""1.4e-02""",D+,"=""0.007859989""","=""287.94""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",,
C,2,"=""43.149""","=""1.1e+11""","=""6.e-02""",E,"=""5.33167""","=""292.67""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",,
C,2,"=""43.149""","=""2.1e+11""","=""6.e-02""",E,"=""5.33167""","=""292.67""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""1/2""",,
C,2,"=""43.150""","=""2.5e+11""","=""9.e-02""",E,"=""5.33792""","=""292.67""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""7/2""",,
C,2,"=""43.150""","=""8.e+10""","=""2.1e-02""",E,"=""5.33792""","=""292.67""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""5/2""",,
C,2,"=""43.150""","=""1.3e+10""","=""2.4e-03""",E,"=""5.33792""","=""292.67""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",,
C,2,"=""43.150""","=""1.8e+11""","=""7.e-02""",E,"=""5.33441""","=""292.67""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""5/2""",,
C,2,"=""43.150""","=""1.4e+11""","=""3.8e-02""",E,"=""5.33441""","=""292.67""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""3/2""",,
C,2,"=""43.150""","=""4.2e+10""","=""6.e-03""",E,"=""5.33441""","=""292.67""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(2D*)""","=""4D*""","=""1/2""",,
C,2,"=""43.168""","=""2.3e+11""","=""1.3e-01""",E,"=""5.33167""","=""292.54""","=""2s.2p2""","=""4P""","=""1/2""","=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",,
C,2,"=""43.169""","=""7.e+11""","=""1.3e-01""",E,"=""5.33792""","=""292.54""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",,
C,2,"=""43.169""","=""5.e+11""","=""1.3e-01""",E,"=""5.33441""","=""292.54""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S). 2p3.(4S*)""","=""4S*""","=""3/2""",,
C,6,"=""113.83842617""","=""5.5703e+09""","=""2.1644e-02""",AA,"=""(367.47407361)""","=""(476.38650555)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,
C,6,"=""113.84057501""","=""3.1817e+08""","=""6.1817e-04""",AA,"=""(367.47407361)""","=""(476.38444973)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,
C,6,"=""113.84180233""","=""3.7080e+09""","=""1.4409e-02""",AA,"=""(367.47730732)""","=""(476.386509299)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
C,6,"=""113.84408201""","=""3.7106e+09""","=""7.2097e-03""",AA,"=""(367.47730732)""","=""(476.384328443)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
C,6,"=""113.89925179""","=""6.6742e+09""","=""1.9471e-02""",AA,"=""(367.53296255)""","=""(476.38723199)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,
C,6,"=""113.90001190""","=""1.1117e+09""","=""2.1622e-03""",AA,"=""(367.53296255)""","=""(476.38650555)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,
C,6,"=""113.90216307""","=""6.3865e+08""","=""6.2109e-04""",AA,"=""(367.53296255)""","=""(476.38444973)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,
C,6,"=""120.4604871""","=""1.0204e+10""","=""4.4395e-02""",AA,"=""(367.47407361)""","=""(470.39927454)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
C,6,"=""120.4642644""","=""6.4189e+09""","=""2.7930e-02""",AA,"=""(367.47730732)""","=""(470.399280950)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
C,6,"=""120.4646454""","=""5.5785e+08""","=""1.2137e-03""",AA,"=""(367.47407361)""","=""(470.39572171)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,
C,6,"=""120.4686756""","=""6.4243e+09""","=""1.3978e-02""",AA,"=""(367.47730732)""","=""(470.39551229)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
C,6,"=""120.5279776""","=""1.2227e+10""","=""3.9942e-02""",AA,"=""(367.53296255)""","=""(470.40052983)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
C,6,"=""120.5294484""","=""2.0368e+09""","=""4.4361e-03""",AA,"=""(367.53296255)""","=""(470.39927454)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,
C,6,"=""120.5336114""","=""1.1198e+09""","=""1.2195e-03""",AA,"=""(367.53296255)""","=""(470.39572171)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",,
C,6,"=""134.9074733""","=""2.2325e+10""","=""1.2183e-01""",AA,"=""(367.47407361)""","=""(459.37720947)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,
C,6,"=""134.9122021""","=""1.2539e+10""","=""6.8433e-02""",AA,"=""(367.47730732)""","=""(459.37722189)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
C,6,"=""134.9176617""","=""1.1161e+09""","=""3.0459e-03""",AA,"=""(367.47407361)""","=""(459.37026931)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,
C,6,"=""134.9230091""","=""1.2553e+10""","=""3.4260e-02""",AA,"=""(367.47730732)""","=""(459.36986090)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
C,6,"=""134.9903701""","=""2.6755e+10""","=""1.0964e-01""",AA,"=""(367.53296255)""","=""(459.37966120)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,
C,6,"=""134.9939736""","=""4.4576e+09""","=""1.2178e-02""",AA,"=""(367.53296255)""","=""(459.37720947)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",,
C,6,"=""135.0041751""","=""2.2406e+09""","=""3.0612e-03""",AA,"=""(367.53296255)""","=""(459.37026931)""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",,
C,5,"=""150.521""","=""1.09e+09""","=""6.17e-03""",A,"=""(304.4034097)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",,
C,5,"=""150.521""","=""6.04e+08""","=""2.05e-03""",A,"=""(304.4034097)""","=""(386.7732)""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",,
