ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
"=""912.323660""","=""1.2258e+02""","=""2.4474e-05""",AAA,"=""0.00000000000000""","=""[13.58993566]""","=""1s""","=""2S""","=""1/2""","=""40""","=""""","=""""",,
"=""912.353295""","=""1.3913e+02""","=""2.6407e-05""",AAA,"=""0.00000000000000""","=""[13.58949423]""","=""1s""","=""2S""","=""1/2""","=""39""","=""""","=""""",,
"=""912.385303""","=""1.5843e+02""","=""2.8550e-05""",AAA,"=""0.00000000000000""","=""[13.58901750]""","=""1s""","=""2S""","=""1/2""","=""38""","=""""","=""""",,
"=""912.419943""","=""1.8103e+02""","=""3.0931e-05""",AAA,"=""0.00000000000000""","=""[13.58850159]""","=""1s""","=""2S""","=""1/2""","=""37""","=""""","=""""",,
"=""912.457513""","=""2.0762e+02""","=""3.3585e-05""",AAA,"=""0.00000000000000""","=""[13.58794208]""","=""1s""","=""2S""","=""1/2""","=""36""","=""""","=""""",,
"=""912.498352""","=""2.3903e+02""","=""3.6551e-05""",AAA,"=""0.00000000000000""","=""[13.58733395]""","=""1s""","=""2S""","=""1/2""","=""35""","=""""","=""""",,
"=""912.542852""","=""2.7631e+02""","=""3.9877e-05""",AAA,"=""0.00000000000000""","=""[13.58667137]""","=""1s""","=""2S""","=""1/2""","=""34""","=""""","=""""",,
"=""912.591463""","=""3.2081e+02""","=""4.3619e-05""",AAA,"=""0.00000000000000""","=""[13.58594765]""","=""1s""","=""2S""","=""1/2""","=""33""","=""""","=""""",,
"=""912.644709""","=""3.7418e+02""","=""4.7845e-05""",AAA,"=""0.00000000000000""","=""[13.58515502]""","=""1s""","=""2S""","=""1/2""","=""32""","=""""","=""""",,
"=""912.703197""","=""4.3857e+02""","=""5.2635e-05""",AAA,"=""0.00000000000000""","=""[13.58428445]""","=""1s""","=""2S""","=""1/2""","=""31""","=""""","=""""",,
"=""912.767639""","=""5.1673e+02""","=""5.8087e-05""",AAA,"=""0.00000000000000""","=""[13.58332538]""","=""1s""","=""2S""","=""1/2""","=""30""","=""""","=""""",,
