element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
He,2,"=""234.347160426""","=""3.1586e+08""","=""5.2012e-03""",AA,"=""0.0000000000""","=""(52.90620897983)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
He,2,"=""234.347279561""","=""3.1583e+08""","=""2.6003e-03""",AA,"=""0.0000000000""","=""(52.90618208394)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
He,2,"=""237.330663920""","=""5.5036e+08""","=""9.2948e-03""",AA,"=""0.0000000000""","=""(52.241120631161)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
He,2,"=""237.330875061""","=""5.5033e+08""","=""4.6472e-03""",AA,"=""0.0000000000""","=""(52.24107415495)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
He,2,"=""243.026444338""","=""1.0917e+09""","=""1.9332e-02""",AA,"=""0.0000000000""","=""(51.01675201265)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
He,2,"=""243.026876757""","=""1.0917e+09""","=""9.6662e-03""",AA,"=""0.0000000000""","=""(51.01666123838)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
He,2,"=""256.316562565""","=""2.6778e+09""","=""5.2749e-02""",AA,"=""0.0000000000""","=""(48.37151262966)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
He,2,"=""256.317702737""","=""2.6777e+09""","=""2.6374e-02""",AA,"=""0.0000000000""","=""(48.37129745992)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
He,2,"=""303.780409484""","=""1.0029e+10""","=""2.7751e-01""",AA,"=""0.0000000000""","=""(40.81375709639)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
He,2,"=""303.785814724""","=""1.0030e+10""","=""1.3878e-01""",AA,"=""0.0000000000""","=""(40.8130309000)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
He,1,"=""507.058027""","=""1.5929e+07""","=""1.8420e-03""",AAA,"=""[0.00000000]""","=""[24.451678459372]""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
He,1,"=""507.718102""","=""2.1826e+07""","=""2.5304e-03""",AAA,"=""[0.00000000]""","=""[24.419889314325]""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
He,1,"=""508.643383""","=""3.1031e+07""","=""3.6108e-03""",AAA,"=""[0.00000000]""","=""[24.375466697350]""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
He,1,"=""509.998300""","=""4.6224e+07""","=""5.4073e-03""",AAA,"=""[0.00000000]""","=""[24.31070817873]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
He,1,"=""510.132995""","=""1.07e-02""","=""2.09e-12""",C,"=""[0.00000000]""","=""[24.30428920147]""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""2""",M2,
He,1,"=""512.098570""","=""7.3174e+07""","=""8.6306e-03""",AAA,"=""[0.00000000]""","=""[24.21100267716]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
He,1,"=""512.135649""","=""2.6480e+02""","=""5.2061e-08""",AAA,"=""[0.00000000]""","=""[24.209249793955]""","=""1s2""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",E2,
He,1,"=""512.314135""","=""1.53e-02""","=""3.01e-12""",C,"=""[0.00000000]""","=""[24.20081545451]""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""2""",M2,
He,1,"=""515.616849""","=""1.2582e+08""","=""1.5045e-02""",AAA,"=""[0.00000000]""","=""[24.04580040653]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
He,1,"=""515.681122""","=""4.3136e+02""","=""8.5986e-08""",AAA,"=""[0.00000000]""","=""[24.042803412125]""","=""1s2""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",E2,
He,1,"=""515.993995""","=""2.64e-02""","=""5.27e-12""",C,"=""[0.00000000]""","=""[24.0282250640]""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""2""",M2,
He,1,"=""522.213093""","=""2.4356e+08""","=""2.9873e-02""",AAA,"=""[0.00000000]""","=""[23.74207006880]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
He,1,"=""522.339267""","=""7.4848e+02""","=""1.5308e-07""",AAA,"=""[0.00000000]""","=""[23.73633503536]""","=""1s2""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",E2,
He,1,"=""522.965949""","=""5.2e-02""","=""1.1e-11""",C,"=""[0.00000000]""","=""[23.7078912279]""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""2""",M2,
