element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Mg,12,"=""6.380854471""","=""8.7279e+10""","=""1.0655e-03""",AA,"=""0.000000""","=""(1943.06576018)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.380879295""","=""8.7016e+10""","=""5.3115e-04""",AA,"=""0.000000""","=""(1943.0582010)""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",,
Mg,12,"=""6.395989033""","=""1.1992e+11""","=""1.4709e-03""",AA,"=""0.000000""","=""(1938.46796484)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.396023248""","=""1.1957e+11""","=""7.3332e-04""",AA,"=""0.000000""","=""(1938.4575950)""","=""1s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",,
Mg,12,"=""6.417269142""","=""1.7112e+11""","=""2.1130e-03""",AA,"=""0.000000""","=""(1932.0398708)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.417318188""","=""1.7064e+11""","=""1.0535e-03""",AA,"=""0.000000""","=""(1932.0251046)""","=""1s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,
Mg,12,"=""6.44856451""","=""2.5628e+11""","=""3.1954e-03""",AA,"=""0.000000""","=""(1922.6635355)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.44863845""","=""2.5560e+11""","=""1.5935e-03""",AA,"=""0.000000""","=""(1922.6414916)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,
Mg,12,"=""6.49738702""","=""4.0900e+11""","=""5.1772e-03""",AA,"=""0.000000""","=""(1908.2163051)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.49750622""","=""4.0802e+11""","=""2.5825e-03""",AA,"=""0.000000""","=""(1908.1812966)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
Mg,12,"=""6.58001211""","=""7.1270e+11""","=""9.2523e-03""",AA,"=""0.000000""","=""(1884.2548674)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.58022340""","=""7.1122e+11""","=""4.6168e-03""",AA,"=""0.000000""","=""(1884.1943631)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
Mg,12,"=""6.73775101""","=""1.4138e+12""","=""1.9244e-02""",AA,"=""0.000000""","=""(1840.1421830)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
Mg,12,"=""6.73818380""","=""1.4116e+12""","=""9.6082e-03""",AA,"=""0.000000""","=""(1840.023989)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
Mg,11,"=""7.1037""","=""1.40e+11""","=""3.18e-03""",A+,"=""0.0000""","=""(1745.3499)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
Mg,12,"=""7.10576767""","=""3.4672e+12""","=""5.2491e-02""",AA,"=""0.000000""","=""(1744.838899)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
Mg,12,"=""7.10690900""","=""3.4659e+12""","=""2.6244e-02""",AA,"=""0.000000""","=""(1744.558688)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
Mg,11,"=""7.1194""","=""1.92e+11""","=""4.39e-03""",A,"=""0.0000""","=""(1741.4912)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
Mg,11,"=""7.1415""","=""2.74e+11""","=""6.29e-03""",A,"=""0.0000""","=""(1736.0973)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
Mg,11,"=""7.1741""","=""4.10e+11""","=""9.50e-03""",A,"=""0.0000""","=""(1728.2309)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
Mg,11,"=""7.2247""","=""6.52e+11""","=""1.53e-02""",A+,"=""0.0000""","=""(1716.1140)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
Mg,11,"=""7.3103""","=""1.13e+12""","=""2.72e-02""",A+,"=""0.0000""","=""(1696.0254)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
Mg,11,"=""7.4731""","=""2.24e+12""","=""5.62e-02""",A+,"=""0.0000""","=""(1659.0660)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
Mg,11,"=""7.8505""","=""5.43e+12""","=""1.50e-01""",A+,"=""0.0000""","=""(1579.3133)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
Mg,12,"=""8.41920005""","=""1.2974e+13""","=""2.7574e-01""",AA,"=""0.000000""","=""(1472.6363270)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
Mg,12,"=""8.42460965""","=""1.3008e+13""","=""1.3841e-01""",AA,"=""0.000000""","=""(1471.690720)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
Mg,11,"=""9.1687""","=""1.96e+13""","=""7.41e-01""",A+,"=""0.0000""","=""(1352.248484)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,
Mg,12,"=""30.0521097""","=""1.6398e+11""","=""4.4406e-02""",AA,"=""(1471.690720)""","=""(1884.2547622)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
Mg,12,"=""30.0548902""","=""1.0271e+11""","=""2.7819e-02""",AA,"=""(1471.728993)""","=""(1884.2548674)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
Mg,12,"=""30.0592989""","=""1.0305e+11""","=""1.3960e-02""",AA,"=""(1471.728993)""","=""(1884.1943631)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
Mg,12,"=""30.1196767""","=""1.9565e+11""","=""3.9914e-02""",AA,"=""(1472.6363270)""","=""(1884.2748700)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
Mg,11,"=""30.879""","=""9.02e+09""","=""3.87e-03""",A,"=""(1343.83638)""","=""(1745.3499)""","=""1s.2s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
Mg,11,"=""31.179""","=""1.24e+10""","=""5.40e-03""",A,"=""(1343.83638)""","=""(1741.4912)""","=""1s.2s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
Mg,11,"=""31.608""","=""1.76e+10""","=""7.91e-03""",A,"=""(1343.83638)""","=""(1736.0973)""","=""1s.2s""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
Mg,11,"=""32.254""","=""2.63e+10""","=""1.23e-02""",A,"=""(1343.83638)""","=""(1728.2309)""","=""1s.2s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
Mg,11,"=""33.304""","=""4.17e+10""","=""2.08e-02""",A,"=""(1343.83638)""","=""(1716.1140)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
Mg,12,"=""33.6500950""","=""3.5862e+11""","=""1.2176e-01""",AA,"=""(1471.690720)""","=""(1840.1419784)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,
Mg,12,"=""33.6535721""","=""2.0057e+11""","=""6.8111e-02""",AA,"=""(1471.728993)""","=""(1840.1421830)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
Mg,12,"=""33.6643723""","=""2.0146e+11""","=""3.4228e-02""",AA,"=""(1471.728993)""","=""(1840.023989)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
Mg,12,"=""33.7330733""","=""4.2811e+11""","=""1.0955e-01""",AA,"=""(1472.6363270)""","=""(1840.1812504)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,
Mg,11,"=""34.022""","=""7.50e+10""","=""2.17e-02""",A,"=""(1331.11204)""","=""(1695.5312)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",,
Mg,11,"=""34.025""","=""7.49e+10""","=""1.30e-02""",A,"=""(1331.11204)""","=""(1695.5030)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",,
Mg,11,"=""34.026""","=""7.50e+10""","=""4.34e-03""",A,"=""(1331.11204)""","=""(1695.4957)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",,
Mg,11,"=""35.132""","=""8.16e+10""","=""4.53e-02""",A,"=""(1342.995806)""","=""(1695.9022)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,
Mg,11,"=""35.142""","=""1.10e+11""","=""3.40e-02""",A,"=""(1343.098984)""","=""(1695.9040)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,
Mg,11,"=""35.143""","=""6.10e+10""","=""1.13e-02""",A,"=""(1343.098984)""","=""(1695.9022)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,
Mg,11,"=""35.186""","=""1.46e+11""","=""3.80e-02""",A,"=""(1343.541917)""","=""(1695.913)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,
Mg,11,"=""35.187""","=""4.06e+09""","=""4.52e-04""",A,"=""(1343.541917)""","=""(1695.9022)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,
Mg,11,"=""35.187""","=""3.66e+10""","=""6.79e-03""",A,"=""(1343.541917)""","=""(1695.9040)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,
Mg,11,"=""35.204""","=""7.19e+10""","=""4.01e-02""",A,"=""(1343.83638)""","=""(1696.0254)""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
Mg,11,"=""35.240""","=""2.65e+09""","=""1.48e-03""",A,"=""(1342.995806)""","=""(1694.8190)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",,
Mg,11,"=""35.251""","=""7.94e+09""","=""1.48e-03""",A,"=""(1343.098984)""","=""(1694.8190)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",,
Mg,11,"=""35.295""","=""1.32e+10""","=""1.48e-03""",A,"=""(1343.541917)""","=""(1694.8190)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",,
Mg,10,"=""35.366""","=""8.83e+09""","=""3.31e-03""",C,"=""0.0000""","=""350.58""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",,
Mg,10,"=""35.366""","=""8.80e+09""","=""1.65e-03""",C,"=""0.0000""","=""350.58""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",,
Mg,10,"=""35.827""","=""1.26e+10""","=""2.42e-03""",C+,"=""0.0000""","=""346.06""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",,
Mg,10,"=""35.827""","=""1.26e+10""","=""4.84e-03""",C+,"=""0.0000""","=""346.06""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",,
Mg,11,"=""36.074""","=""1.34e+11""","=""4.37e-02""",A,"=""(1352.248484)""","=""(1695.9399)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,
Mg,11,"=""36.120""","=""2.27e+10""","=""1.48e-03""",A,"=""(1352.248484)""","=""(1695.5029)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",,
Mg,10,"=""36.518""","=""1.87e+10""","=""7.48e-03""",C+,"=""0.0000""","=""339.52""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",,
Mg,10,"=""36.518""","=""1.87e+10""","=""3.74e-03""",C+,"=""0.0000""","=""339.52""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",,
Mg,10,"=""37.644""","=""2.97e+10""","=""1.26e-02""",B+,"=""0.0000""","=""329.36""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",,
Mg,10,"=""37.644""","=""2.97e+10""","=""6.30e-03""",B+,"=""0.0000""","=""329.36""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",,
Mg,11,"=""37.918""","=""1.46e+11""","=""5.24e-02""",A,"=""(1331.11204)""","=""(1658.0881)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",,
Mg,11,"=""37.925""","=""1.46e+11""","=""3.14e-02""",A,"=""(1331.11204)""","=""(1658.0329)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",,
Mg,11,"=""37.926""","=""1.46e+11""","=""1.05e-02""",A,"=""(1331.11204)""","=""(1658.0187)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",,
Mg,10,"=""38.766""","=""2.82e+10""","=""1.27e-02""",B,"=""19.8393""","=""339.67""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,
Mg,10,"=""38.826""","=""3.36e+10""","=""1.14e-02""",B,"=""20.332""","=""339.67""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,
Mg,10,"=""38.826""","=""5.62e+09""","=""1.27e-03""",C+,"=""20.332""","=""339.67""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,
Mg,11,"=""39.257""","=""1.76e+11""","=""1.22e-01""",A,"=""(1342.995806)""","=""(1658.8208)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",,
Mg,11,"=""39.270""","=""1.32e+11""","=""3.06e-02""",A,"=""(1343.098984)""","=""(1658.8208)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",,
Mg,11,"=""39.270""","=""2.38e+11""","=""9.18e-02""",A,"=""(1343.098984)""","=""(1658.8238)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,
Mg,11,"=""39.323""","=""3.17e+11""","=""1.03e-01""",A,"=""(1343.541917)""","=""(1658.843)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",,
Mg,11,"=""39.325""","=""7.89e+10""","=""1.83e-02""",A,"=""(1343.541917)""","=""(1658.8238)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",,
Mg,11,"=""39.325""","=""8.77e+09""","=""1.22e-03""",A,"=""(1343.541917)""","=""(1658.8208)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",,
Mg,11,"=""39.331""","=""1.40e+11""","=""9.71e-02""",A,"=""(1343.83638)""","=""(1659.0660)""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
Mg,11,"=""39.525""","=""5.35e+09""","=""3.76e-03""",A,"=""(1342.995806)""","=""(1656.6795)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",,
Mg,11,"=""39.538""","=""1.60e+10""","=""3.76e-03""",A,"=""(1343.098984)""","=""(1656.6795)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",,
Mg,11,"=""39.594""","=""2.67e+10""","=""3.76e-03""",A,"=""(1343.541917)""","=""(1656.6795)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",,
Mg,10,"=""39.668""","=""5.17e+10""","=""1.22e-02""",B+,"=""0.0000""","=""312.55""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",,
Mg,10,"=""39.668""","=""5.15e+10""","=""2.43e-02""",B+,"=""0.0000""","=""312.55""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",,
Mg,10,"=""40.019""","=""4.62e+10""","=""2.22e-02""",B+,"=""19.8393""","=""329.65""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,
Mg,10,"=""40.083""","=""5.54e+10""","=""2.00e-02""",B+,"=""20.332""","=""329.65""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,
Mg,10,"=""40.083""","=""9.22e+09""","=""2.22e-03""",B,"=""20.332""","=""329.65""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,
Mg,11,"=""40.433""","=""2.96e+11""","=""1.21e-01""",A,"=""(1352.248484)""","=""(1658.8900)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,
Mg,11,"=""40.545""","=""4.55e+10""","=""3.74e-03""",A,"=""(1352.248484)""","=""(1658.0419)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",,
Mg,9,"=""40.638""","=""1.74e+10""","=""1.29e-02""",D,"=""0.0000""","=""305.094""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.7p""","=""1P*""","=""1""",,
Mg,9,"=""41.803""","=""4.22e+10""","=""3.32e-02""",D,"=""0.0000""","=""296.591""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.6p""","=""1P*""","=""1""",,
Mg,10,"=""42.294""","=""8.61e+10""","=""4.62e-02""",B+,"=""19.8393""","=""312.99""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,
Mg,10,"=""42.362""","=""1.03e+11""","=""4.16e-02""",B+,"=""20.332""","=""313.01""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,
Mg,10,"=""42.366""","=""1.71e+10""","=""4.60e-03""",B+,"=""20.332""","=""312.99""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,
Mg,10,"=""42.525""","=""6.27e+09""","=""1.70e-03""",B,"=""19.8393""","=""311.40""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,
Mg,10,"=""42.597""","=""1.32e+10""","=""1.80e-03""",B,"=""20.332""","=""311.40""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,
Mg,9,"=""43.091""","=""2.11e+10""","=""9.77e-03""",D,"=""17.5600""","=""305.286""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.7d""","=""3D""","=""2""",,
Mg,9,"=""43.137""","=""6.99e+09""","=""1.95e-03""",D,"=""17.8650""","=""305.286""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""2""",,
Mg,9,"=""43.137""","=""2.79e+10""","=""1.09e-02""",D,"=""17.8650""","=""305.286""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7d""","=""3D""","=""3""",,
Mg,9,"=""43.434""","=""9.48e+09""","=""4.47e-03""",D,"=""17.5600""","=""303.011""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.5p""","=""3P""","=""2""",,
Mg,9,"=""43.481""","=""2.83e+10""","=""8.03e-03""",D,"=""17.8650""","=""303.011""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.5p""","=""3P""","=""2""",,
Mg,9,"=""43.843""","=""5.63e+10""","=""4.87e-02""",D,"=""0.0000""","=""282.792""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",,
Mg,10,"=""44.050""","=""9.93e+10""","=""2.89e-02""",B+,"=""0.0000""","=""281.463""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,
Mg,10,"=""44.050""","=""9.88e+10""","=""5.75e-02""",B+,"=""0.0000""","=""281.463""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,
Mg,9,"=""44.281""","=""2.60e+10""","=""2.29e-02""",D,"=""0.0000""","=""279.995""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.4d""","=""1P*""","=""1""",,
Mg,9,"=""44.372""","=""3.92e+10""","=""1.93e-02""",D,"=""17.5600""","=""296.978""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D""","=""2""",,
Mg,9,"=""44.421""","=""5.22e+10""","=""2.16e-02""",C,"=""17.8650""","=""296.978""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""3""",,
Mg,9,"=""44.421""","=""1.30e+10""","=""3.85e-03""",D,"=""17.8650""","=""296.978""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""2""",,
Mg,12,"=""45.3908998""","=""1.1219e+12""","=""6.9306e-01""",AA,"=""(1471.690720)""","=""(1744.83841941)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,
Mg,12,"=""45.3971812""","=""4.6489e+11""","=""2.8727e-01""",AA,"=""(1471.728993)""","=""(1744.838899)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
Mg,12,"=""45.4438065""","=""4.6818e+11""","=""1.4495e-01""",AA,"=""(1471.728993)""","=""(1744.558688)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
Mg,12,"=""45.5330147""","=""1.3416e+12""","=""6.2548e-01""",AA,"=""(1472.6363270)""","=""(1744.93149434)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,
Mg,9,"=""45.635""","=""2.83e+10""","=""1.47e-02""",D,"=""33.6849""","=""305.372""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.7d""","=""1D""","=""2""",,
Mg,9,"=""45.980""","=""4.17e+10""","=""2.20e-02""",D,"=""33.6849""","=""303.334""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.5p""","=""1D""","=""2""",,
Mg,9,"=""46.657""","=""6.54e+10""","=""3.56e-02""",D,"=""17.5600""","=""283.294""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""2""",,
Mg,9,"=""46.711""","=""8.71e+10""","=""3.99e-02""",D,"=""17.8650""","=""283.294""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""3""",,
Mg,9,"=""46.711""","=""2.18e+10""","=""7.12e-03""",E,"=""17.8650""","=""283.294""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""2""",,
Mg,9,"=""47.041""","=""3.87e+10""","=""2.14e-02""",D,"=""33.6849""","=""297.251""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.6d""","=""1D""","=""2""",,
