element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
N,7,"=""19.117875293""","=""4.7392e+10""","=""5.1936e-03""",AA,"=""0.0000000""","=""(648.52498793)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
N,7,"=""19.117994445""","=""4.7353e+10""","=""2.5947e-03""",AA,"=""0.0000000""","=""(648.52094601)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
N,7,"=""19.361181681""","=""8.2580e+10""","=""9.2816e-03""",AA,"=""0.0000000""","=""(640.37516137)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
N,7,"=""19.361392863""","=""8.2520e+10""","=""4.6376e-03""",AA,"=""0.0000000""","=""(640.36817657)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
N,7,"=""19.825676053""","=""1.6380e+11""","=""1.9305e-02""",AA,"=""0.0000000""","=""(625.37185668)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
N,7,"=""19.826108575""","=""1.6372e+11""","=""9.6482e-03""",AA,"=""0.0000000""","=""(625.35821370)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
N,7,"=""20.90945682""","=""4.0176e+11""","=""5.2668e-02""",AA,"=""0.0000000""","=""(592.95752886)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
N,7,"=""20.91059731""","=""4.0171e+11""","=""2.6333e-02""",AA,"=""0.0000000""","=""(592.9251882)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
N,6,"=""23.024314""","=""6.290e+10""","=""1.500e-02""",AA,"=""0.00000""","=""(538.4925)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
N,6,"=""23.282137""","=""1.091e+11""","=""2.659e-02""",AA,"=""0.00000""","=""(532.5293)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
N,6,"=""23.771641""","=""2.145e+11""","=""5.451e-02""",AA,"=""0.00000""","=""(521.5635)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
N,6,"=""23.82778""","=""4.59e+01""","=""1.17e-11""",C,"=""0.00000""","=""(520.3346)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",M1,
N,7,"=""24.77920351""","=""1.5044e+12""","=""2.7697e-01""",AA,"=""0.0000000""","=""(500.3558665)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
N,7,"=""24.78460996""","=""1.5057e+12""","=""1.3867e-01""",AA,"=""0.0000000""","=""(500.2467201)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
N,6,"=""24.900454""","=""5.158e+11""","=""1.438e-01""",AA,"=""0.00000""","=""(497.9194)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
N,6,"=""24.914477""","=""5.777e+07""","=""1.790e-05""",AA,"=""0.00000""","=""(497.6392)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",E2,
N,6,"=""25.05112""","=""8.36e+01""","=""2.36e-11""",C,"=""0.00000""","=""(494.9247)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",M1,
N,6,"=""28.786962""","=""1.809e+12""","=""6.742e-01""",AA,"=""0.00000""","=""(430.6956649)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,
N,6,"=""29.081856""","=""1.03e+05""","=""6.53e-08""",A,"=""0.00000""","=""(426.3283574)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",M2,
N,6,"=""29.534682""","=""2.55e+02""","=""1.00e-10""",A+,"=""0.00000""","=""(419.791888)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",M1,
N,7,"=""83.6158974""","=""1.0326e+10""","=""2.1647e-02""",AA,"=""(500.2467201)""","=""(648.52498096)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,
N,7,"=""83.6180537""","=""5.8968e+08""","=""6.1812e-04""",AA,"=""(500.2467201)""","=""(648.52115724)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,
N,7,"=""83.6190681""","=""6.8698e+09""","=""1.4403e-02""",AA,"=""(500.2523497)""","=""(648.52498793)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
N,7,"=""83.6213477""","=""6.8763e+09""","=""7.2085e-03""",AA,"=""(500.2523497)""","=""(648.52094601)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
N,7,"=""83.6767315""","=""1.2365e+10""","=""1.9469e-02""",AA,"=""(500.3558665)""","=""(648.52632697)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,
N,7,"=""83.6774917""","=""2.0592e+09""","=""2.1616e-03""",AA,"=""(500.3558665)""","=""(648.52498096)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,
N,7,"=""83.6796511""","=""1.1853e+09""","=""6.2213e-04""",AA,"=""(500.3558665)""","=""(648.52115724)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,
N,7,"=""88.4789753""","=""1.8914e+10""","=""4.4397e-02""",AA,"=""(500.2467201)""","=""(640.37514943)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
N,7,"=""88.4825225""","=""1.1892e+10""","=""2.7917e-02""",AA,"=""(500.2523497)""","=""(640.37516137)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
N,7,"=""88.4831480""","=""1.0339e+09""","=""1.2135e-03""",AA,"=""(500.2467201)""","=""(640.36854123)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,
N,7,"=""88.4869334""","=""1.1905e+10""","=""1.3975e-02""",AA,"=""(500.2523497)""","=""(640.36817657)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
N,7,"=""88.5464747""","=""2.2653e+10""","=""3.9940e-02""",AA,"=""(500.3558665)""","=""(640.37747533)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
