element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Na,11,"=""7.676597052""","=""1.8098e+11""","=""3.1978e-03""",AA,"=""0.000000""","=""(1615.0932190)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,
Na,11,"=""7.676670981""","=""1.8058e+11""","=""1.5954e-03""",AA,"=""0.000000""","=""(1615.0776651)""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,
Na,11,"=""7.734728605""","=""2.8884e+11""","=""5.1812e-03""",AA,"=""0.000000""","=""(1602.9547353)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
Na,11,"=""7.734847799""","=""2.8825e+11""","=""2.5854e-03""",AA,"=""0.000000""","=""(1602.9300338)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
Na,11,"=""7.833107487""","=""5.0328e+11""","=""9.2591e-03""",AA,"=""0.000000""","=""(1582.8226363)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
Na,11,"=""7.83331875""","=""5.0241e+11""","=""4.6218e-03""",AA,"=""0.000000""","=""(1582.7799475)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
Na,11,"=""8.02092185""","=""9.9832e+11""","=""1.9258e-02""",AA,"=""0.000000""","=""(1545.7599614)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
Na,11,"=""8.02135458""","=""9.9705e+11""","=""9.6177e-03""",AA,"=""0.000000""","=""(1545.6765708)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
Na,11,"=""8.45911479""","=""2.4484e+12""","=""5.2532e-02""",AA,"=""0.000000""","=""(1465.687622)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
Na,11,"=""8.46025592""","=""2.4476e+12""","=""2.6265e-02""",AA,"=""0.000000""","=""(1465.489929)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
Na,10,"=""8.541787""","=""9.67e+10""","=""3.17e-03""",A+,"=""0.0000""","=""(1451.5018)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
Na,10,"=""8.560591""","=""1.33e+11""","=""4.38e-03""",A,"=""0.0000""","=""(1448.3135)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
Na,10,"=""8.587015""","=""1.89e+11""","=""6.28e-03""",A,"=""0.0000""","=""(1443.8568)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
Na,10,"=""8.625843""","=""2.83e+11""","=""9.47e-03""",A,"=""0.0000""","=""(1437.3575)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
Na,10,"=""8.686341""","=""4.50e+11""","=""1.53e-02""",A+,"=""0.0000""","=""(1427.3466)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
Na,10,"=""8.788528""","=""7.81e+11""","=""2.71e-02""",A+,"=""0.0000""","=""(1410.7505)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
Na,10,"=""8.982936""","=""1.54e+12""","=""5.60e-02""",A+,"=""0.0000""","=""(1380.2190)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
