element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
O,8,"=""14.634278582""","=""8.0840e+10""","=""5.1911e-03""",AA,"=""0.0000000""","=""(847.21770014)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
O,8,"=""14.634397743""","=""8.0753e+10""","=""2.5928e-03""",AA,"=""0.0000000""","=""(847.21080161)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
O,8,"=""14.820501188""","=""1.4086e+11""","=""9.2771e-03""",AA,"=""0.0000000""","=""(836.57223773)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
O,8,"=""14.820712386""","=""1.4073e+11""","=""4.6344e-03""",AA,"=""0.0000000""","=""(836.56031640)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
O,8,"=""15.176017358""","=""2.7941e+11""","=""1.9295e-02""",AA,"=""0.0000000""","=""(816.97454286)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
O,8,"=""15.176449925""","=""2.7922e+11""","=""9.6417e-03""",AA,"=""0.0000000""","=""(816.9512570)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
O,8,"=""16.00551532""","=""6.8532e+11""","=""5.2641e-02""",AA,"=""0.0000000""","=""(774.6342180)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
O,8,"=""16.00665594""","=""6.8520e+11""","=""2.6319e-02""",AA,"=""0.0000000""","=""(774.5790180)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
O,7,"=""17.805310""","=""1.84e+02""","=""2.62e-11""",C,"=""0.00000""","=""(696.3327)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",M1,
O,7,"=""18.628151""","=""9.365e+11""","=""1.461e-01""",AA,"=""0.00000""","=""(665.5744)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
O,7,"=""18.637378""","=""1.451e+08""","=""2.514e-05""",AA,"=""0.00000""","=""(665.2449)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",E2,
O,7,"=""18.727765""","=""3.57e+02""","=""5.63e-11""",C,"=""0.00000""","=""(662.0341)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",M1,
O,8,"=""18.96710547""","=""2.5658e+12""","=""2.7677e-01""",AA,"=""0.0000000""","=""(653.6801232)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,
O,8,"=""18.97251243""","=""2.5688e+12""","=""1.3863e-01""",AA,"=""0.0000000""","=""(653.4938315)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
O,7,"=""21.601500""","=""3.309e+12""","=""6.945e-01""",AA,"=""0.00000""","=""(573.9610626)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,
O,7,"=""21.801013""","=""3.31e+05""","=""1.18e-07""",A,"=""0.00000""","=""(568.708437)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",M2,
O,7,"=""22.097720""","=""1.04e+03""","=""2.28e-10""",AA,"=""0.00000""","=""(561.072349)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",M1,
O,8,"=""64.0004801""","=""1.7627e+10""","=""2.1648e-02""",AA,"=""(653.4938315)""","=""(847.21768819)""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",,
O,8,"=""64.0026428""","=""1.0064e+09""","=""6.1805e-04""",AA,"=""(653.4938315)""","=""(847.21114235)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",,
O,8,"=""64.0034764""","=""1.1720e+10""","=""1.4395e-02""",AA,"=""(653.5029124)""","=""(847.21770014)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
O,8,"=""64.0057557""","=""1.1734e+10""","=""7.2068e-03""",AA,"=""(653.5029124)""","=""(847.21080161)""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
O,8,"=""64.0613243""","=""2.1094e+10""","=""1.9467e-02""",AA,"=""(653.6801232)""","=""(847.21998475)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,
O,8,"=""64.0620845""","=""3.5121e+09""","=""2.1608e-03""",AA,"=""(653.6801232)""","=""(847.21768819)""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,
O,8,"=""64.0642513""","=""2.0260e+09""","=""6.2329e-04""",AA,"=""(653.6801232)""","=""(847.21114235)""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,
O,8,"=""67.7219202""","=""3.2287e+10""","=""4.4399e-02""",AA,"=""(653.4938315)""","=""(836.57221740)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
O,8,"=""67.7252719""","=""2.0288e+10""","=""2.7901e-02""",AA,"=""(653.5029124)""","=""(836.57223773)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
O,8,"=""67.7261051""","=""1.7647e+09""","=""1.2135e-03""",AA,"=""(653.4938315)""","=""(836.56090475)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,
