element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Si,14,"=""4.77035561""","=""7.5746e+11""","=""5.1683e-03""",AA,"=""0.000000""","=""(2599.0556823)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",,
Si,14,"=""4.77047484""","=""7.5496e+11""","=""2.5757e-03""",AA,"=""0.000000""","=""(2598.990721)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,
Si,14,"=""4.83099198""","=""1.3199e+12""","=""9.2366e-03""",AA,"=""0.000000""","=""(2566.433541)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
Si,14,"=""4.83120333""","=""1.3161e+12""","=""4.6054e-03""",AA,"=""0.000000""","=""(2566.321264)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
Si,14,"=""4.94675233""","=""2.6181e+12""","=""1.9210e-02""",AA,"=""0.000000""","=""(2506.375700)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
Si,14,"=""4.94718529""","=""2.6127e+12""","=""9.5867e-03""",AA,"=""0.000000""","=""(2506.156354)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
Si,13,"=""5.135""","=""2.70e+11""","=""3.20e-03""",C+,"=""0.00000""","=""(2414.6693)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
Si,13,"=""5.146""","=""3.68e+11""","=""4.39e-03""",A,"=""0.00000""","=""(2409.2777)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
Si,13,"=""5.162""","=""5.25e+11""","=""6.30e-03""",A,"=""0.00000""","=""(2401.7406)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
Si,13,"=""5.186""","=""7.86e+11""","=""9.51e-03""",A,"=""0.00000""","=""(2390.7481)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
Si,14,"=""5.21681873""","=""6.4207e+12""","=""5.2394e-02""",AA,"=""0.000000""","=""(2376.624622)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
Si,14,"=""5.21796049""","=""6.4173e+12""","=""2.6195e-02""",AA,"=""0.000000""","=""(2376.104583)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
Si,13,"=""5.223""","=""1.25e+12""","=""1.54e-02""",A,"=""0.00000""","=""(2373.8145)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
Si,13,"=""5.286""","=""2.18e+12""","=""2.73e-02""",A,"=""0.00000""","=""(2345.7380)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
Si,13,"=""5.405""","=""4.29e+12""","=""5.64e-02""",A,"=""0.00000""","=""(2294.0757)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
Si,13,"=""5.681""","=""1.04e+13""","=""1.51e-01""",A+,"=""0.00000""","=""(2182.5736)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
